,count
Eruptive odontogenic cyst,2
Rheumatoid nodule,2
Secondary impetiginization,2
Infection of skin,2
Hyperpigmentation,1
Leprosy,1
"Vasculitis of the skin, NOS",1
Cat scratch injury,1
wound/abrasion,1
Acral erythema,1
Erosion of skin,1
Contact burn of skin,1
scurvy,1
On examination - hemorrhagic bullae,1
Chronic dermatitis,1
Drug-induced pellagra,1
Mixed diabetic ulcer - foot,1
Lipoma,1
Allergic contact dermatitis caused by allergenic hapten derived from plant,1
granular parakeratosis,1
Blood blister,1
Acute vesicular dermatitis,1
Superficial frostbite,1
Acute-on-chronic dyshidrotic eczema of hands,1
Photocontact dermatitis [berloque dermatitis],1
Viral dermatological disorders,1
Cellulitis of hand excluding finger,1
Discrete papular lichen myxedematosus,1
resolving dermatitis,1
Sneddon-Wilkinson disease,1
varicose vein,1
Nodular vasculitis,1
Morbilliform eruption,1
Neoplasm of uncertain behavior of skin of arm,1
panniculitis of skin,1
Hyperkeratosis of skin,1
PXE (pseudoxanthoma elasticum) like syndrome,1
Cheilitis,1
Non-specific panniculitis,1
Keratolysis exfoliativa,1
Eruptive xanthoma,1
Folliculitis decalvans,1
O/E - purulent pustules,1
Erythema elevatum diutinum,1
Lymphocutaneous sporotrichosis,1
Localised skin eruption due to drugs and medicaments,1
Hemosiderin pigmentation of skin,1
Arsenical keratosis,1
Angiosarcoma of skin,1
Tufted angioma of skin,1
relapsing polychondritis,1
Lichenified eczema,1
Burn of forearm,1
Papular acrodermatitis of childhood,1
Knuckle pads,1
TMEP - telangiectasia macularis eruptiva perstans,1
Viral infection of skin,1
Ichthyosiform dermatosis,1
Crohn disease of skin,1
Abrasion and/or friction burn of lower limb without infection,1
Hyperpigmentation disorder,1
Bullosis diabeticorum,1
Varicose veins of lower extremity,1
Non-melanin pigmentation due to exogenous substance (disorder),1
deep vein thrombosis,1
pathergy,1
Furuncle,1
Erythema marginatum,1
post-sunburn peeling/superficial desquamation,1
Dermatofibrosarcoma protuberans,1
Infestation caused by Sarcoptes scabiei var bovis,1
O/E - vesicles present,1
Acne urticata,1
Elephantiasis nostras,1
Berloque dermatitis,1
Pemphigus,1
Hemosiderin pigmentation of lower limb due to varicose veins of lower limb,1
deep fungal infection,1
On examination - follicular pustules,1
Leukonychia,1
Muehrcke lines,1
Pressure ulcer stage 2,1
Poikiloderma,1
Agminate folliculitis,1
Skin striae,1
Majocchi's granuloma,1
Burn erythema of abdominal wall,1
Nevus anemicus,1
Urticarial vasculitis,1
Erysipelas,1
Atrophic glossitis,1
Cat scratch disease,1
Anetoderma,1
Ecthyma gangrenosum,1
Cutaneous polyarteritis nodosa,1
Dermatosis caused by lice,1
Pyoderma,1
"Rosai Dorfman disease - I know rare, but I've seen a case like this unilateral.  Rosacea supported bilateral further images",1
Majocchi granuloma,1
Chronic ulcer of skin,1
Acute dermatitis,1
Itchy skin eruption,1
Acquired digital fibrokeratoma,1
Perleche,1
Histiocytosis of skin,1
O/E - skin fissure,1
Calciphylaxis cutis,1
Crusted eczematous dermatitis,1
Pincer nail deformity,1
Acute ulcer of skin,1
unilateral laterothoracic exanthem,1
Diffuse xanthoma,1
Benign tumor of dermis,1
Collagenoma,1
Localised cutaneous vasculitis,1
Burn erythema of neck,1
Bacterial pyoderma,1
Ochronosis,1
Acral persistent papular mucinosis,1
digital myxoid cyst,1
Infection of tick bite,1
Perifolliculitis,1
Pachyonychia congenita,1
Drug-induced photosensitivity,1
Pressure ulcer,1
Jessner lymphocytic infiltrate,1
O/E - skin cyst present,1
OK - Odontogenic keratocyst,1
Xanthoma,1
gouty tophi,1
Poisoning by nematocyst,1
Skin hypopigmented,1
Local infection of wound,1
Perifollicular haemorrhage,1
Injection site disorder,1
Dehiscence,1
hyperlinear palm,1
Acquired poikiloderma,1
Mastocytoma,1
Vascular nevus of skin,1
Melanin pigmentation due to exogenous substance,1
Skin atrophy,1
"Panniculitis, NOS",1
Traction alopecia,1
Frontal fibrosing alopecia,1
Nail pitting,1
Abrasion and/or friction burn of thigh without infection,1
superficial hemorrhage,1
Snake bite - wound,1
Clinical neurofibromatosis,1
Pruritic dermatitis,1
Infection of toe web,1
Acneiform eruption,1
Candida infection of flexural skin,1
Erythema marginatum in acute rheumatic fever,1
